City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
129,Tocopilla,-22.092,-70.1979,68.29,73,1,1.36,CL,clear sky,2022-02-06 04:45:13
130,Jaciara,-15.9653,-54.9683,72.36,93,100,2.08,BR,overcast clouds,2022-02-06 04:43:01
131,Acapulco,16.8634,-99.8901,75.6,68,0,5.84,MX,clear sky,2022-02-06 04:45:13
132,Kabanjahe,3.1001,98.4908,74.16,71,100,1.97,ID,overcast clouds,2022-02-06 04:45:13
133,Manitowoc,44.0667,-87.8001,18.46,64,0,1.99,US,clear sky,2022-02-06 04:45:14
134,Geraldton,-28.7667,114.6,81.01,57,100,19.57,AU,overcast clouds,2022-02-06 04:45:14
135,Sola,-13.8833,167.55,81.88,81,99,19.33,VU,heavy intensity rain,2022-02-06 04:46:15
136,Isangel,-19.55,169.2667,86.11,84,75,11.5,VU,broken clouds,2022-02-06 04:46:15
137,Khatanga,71.9667,102.5,-20.72,98,99,7.38,RU,overcast clouds,2022-02-06 04:46:16
138,Fresnillo,23.1667,-102.8833,55.85,58,24,9.35,MX,few clouds,2022-02-06 04:46:16
139,Lulea,65.5842,22.1547,26.67,93,100,11.5,SE,overcast clouds,2022-02-06 04:46:16
140,Praia,14.9215,-23.5087,68.54,77,0,16.11,CV,clear sky,2022-02-06 04:46:17
141,Narsaq,60.9167,-46.05,3.42,70,100,4.99,GL,overcast clouds,2022-02-06 04:46:17
142,Adrar,20.5022,-10.0711,61.27,9,0,9.22,MR,clear sky,2022-02-06 04:45:13
143,Puerto Colombia,10.9878,-74.9547,78.89,80,2,28.19,CO,clear sky,2022-02-06 04:46:18
144,Torbay,47.6666,-52.7314,35.76,96,100,9.22,CA,snow,2022-02-06 04:43:15
145,Auki,-8.7676,160.7034,84.47,73,66,8.95,SB,broken clouds,2022-02-06 04:46:18
146,Lorengau,-2.0226,147.2712,84.25,71,100,9.69,PG,overcast clouds,2022-02-06 04:46:19
147,San Luis,-33.295,-66.3356,56.43,59,0,3.98,AR,clear sky,2022-02-06 04:41:27
148,Vila Velha,-20.3297,-40.2925,75.94,85,0,4.61,BR,clear sky,2022-02-06 04:42:28
149,Turukhansk,65.8167,87.9833,-9.47,97,99,1.43,RU,overcast clouds,2022-02-06 04:46:20
150,Karratha,-20.7377,116.8463,94.08,49,47,16.53,AU,scattered clouds,2022-02-06 04:46:20
151,Libreville,0.3925,9.4537,76.77,90,33,7.49,GA,scattered clouds,2022-02-06 04:46:21
152,Touros,-5.1989,-35.4608,76.1,73,28,8.52,BR,scattered clouds,2022-02-06 04:46:21
153,Aksarka,66.5606,67.7975,-21.6,100,75,3.94,RU,broken clouds,2022-02-06 04:46:21
154,Ancud,-41.8697,-73.8203,56.73,89,79,2.82,CL,broken clouds,2022-02-06 04:46:22
155,Shieli,44.1667,66.75,36.16,78,100,16.71,KZ,overcast clouds,2022-02-06 04:46:22
156,Kingsville,27.5159,-97.8561,42.66,79,0,5.75,US,clear sky,2022-02-06 04:42:10
157,Kavaratti,10.5669,72.642,78.24,61,9,5.32,IN,clear sky,2022-02-06 04:46:23
158,Aldan,58.6031,125.3894,1.29,85,85,2.15,RU,overcast clouds,2022-02-06 04:46:23
159,Huarmey,-10.0681,-78.1522,70.21,85,86,7.63,PE,overcast clouds,2022-02-06 04:46:24
160,Pokhara,28.2333,83.9833,56.03,60,1,5.32,NP,clear sky,2022-02-06 04:46:24
161,Keti Bandar,24.1447,67.4497,72.79,53,0,6.55,PK,clear sky,2022-02-06 04:46:25
162,Malindi,-3.2175,40.1191,77.16,88,75,0.0,KE,broken clouds,2022-02-06 04:46:25
163,Zaokskiy,54.7306,37.4089,17.49,95,100,7.81,RU,snow,2022-02-06 04:46:26
164,Faya,18.3851,42.4509,48.72,65,0,4.21,SA,clear sky,2022-02-06 04:46:26
165,Padang,-0.9492,100.3543,87.85,79,100,1.01,ID,overcast clouds,2022-02-06 04:46:26
166,Puerto Lleras,3.0223,-73.4044,74.14,72,71,1.14,CO,broken clouds,2022-02-06 04:46:27
167,Eureka,40.8021,-124.1637,45.21,86,6,2.59,US,clear sky,2022-02-06 04:46:27
168,San Jose,37.3394,-121.895,56.57,63,0,0.0,US,clear sky,2022-02-06 04:45:09
169,Sisimiut,66.9395,-53.6735,0.45,95,100,6.87,GL,light snow,2022-02-06 04:46:28
170,Clyde,41.3042,-82.9752,15.19,84,12,9.15,US,few clouds,2022-02-06 04:42:05
171,Chuy,-33.6971,-53.4616,61.41,93,15,7.87,UY,few clouds,2022-02-06 04:46:28
172,Harper,4.375,-7.7169,77.54,87,29,5.44,LR,moderate rain,2022-02-06 04:46:29
173,Ostrovnoy,68.0531,39.5131,13.35,82,100,28.61,RU,overcast clouds,2022-02-06 04:46:29
174,Pocone,-16.2567,-56.6228,75.07,86,54,3.4,BR,broken clouds,2022-02-06 04:43:26
175,Nokaneng,-19.6667,22.2667,68.22,84,66,9.48,BW,broken clouds,2022-02-06 04:46:30
176,Cowra,-33.8333,148.6833,70.72,34,33,18.84,AU,scattered clouds,2022-02-06 04:46:30
177,Kolosovka,56.4678,73.611,9.34,84,100,8.03,RU,overcast clouds,2022-02-06 04:46:31
178,Nioki,-2.7167,17.6833,72.37,89,100,1.52,CD,overcast clouds,2022-02-06 04:46:31
179,Dauphin,51.1494,-100.0502,-3.86,77,100,6.91,CA,overcast clouds,2022-02-06 04:41:44
180,Tuktoyaktuk,69.4541,-133.0374,-31.0,68,0,11.5,CA,clear sky,2022-02-06 04:47:32
181,Rolla,37.9514,-91.7713,31.89,58,0,5.01,US,clear sky,2022-02-06 04:42:38
182,Liverpool,53.4106,-2.9779,49.14,93,100,8.99,GB,light rain,2022-02-06 04:42:37
183,Guerrero Negro,27.9769,-114.0611,60.21,57,0,9.91,MX,clear sky,2022-02-06 04:47:33
184,Yulara,-25.2406,130.9889,87.64,15,0,8.05,AU,clear sky,2022-02-06 04:47:33
185,Abnub,27.2696,31.1511,43.02,69,0,5.46,EG,clear sky,2022-02-06 04:47:34
186,Vardo,70.3705,31.1107,26.89,79,100,28.77,NO,overcast clouds,2022-02-06 04:47:34
187,Muros,42.7762,-9.0603,45.23,83,40,10.96,ES,scattered clouds,2022-02-06 04:45:04
188,Myre,69.1036,15.9492,33.75,77,94,22.26,NO,light snow,2022-02-06 04:47:35
189,Shingu,33.7333,135.9833,41.99,47,87,15.21,JP,overcast clouds,2022-02-06 04:47:35
190,Tifton,31.4505,-83.5085,44.22,83,75,0.0,US,broken clouds,2022-02-06 04:47:35
191,Raga,8.4596,25.678,63.86,19,100,6.98,SS,overcast clouds,2022-02-06 04:47:36
192,Santa Catarina De Tepehuanes,25.35,-105.7333,44.24,60,7,5.48,MX,clear sky,2022-02-06 04:47:36
193,Cap-Aux-Meules,47.3821,-61.8597,14.02,92,100,28.77,CA,overcast clouds,2022-02-06 04:44:02
194,Svetlyy,54.675,20.1347,37.45,93,100,21.63,RU,overcast clouds,2022-02-06 04:44:59
195,Mazyr,52.0495,29.2456,30.11,90,97,13.06,BY,overcast clouds,2022-02-06 04:47:37
196,Conceicao Do Araguaia,-8.2578,-49.2647,72.79,96,72,3.76,BR,broken clouds,2022-02-06 04:47:38
197,Port Elizabeth,-33.918,25.5701,68.09,88,0,13.8,ZA,clear sky,2022-02-06 04:43:03
198,Da Nang,16.0678,108.2208,76.98,65,75,2.3,VN,broken clouds,2022-02-06 04:47:38
199,Clinton,42.587,-82.9199,17.62,82,20,1.99,US,few clouds,2022-02-06 04:47:39
200,Asyut,27.181,31.1837,42.98,69,0,5.99,EG,clear sky,2022-02-06 04:47:39
201,Broome,42.2506,-75.833,3.97,68,17,1.01,US,few clouds,2022-02-06 04:47:39
202,Kahului,20.8947,-156.47,75.22,75,20,21.85,US,few clouds,2022-02-06 04:47:40
203,Polovinnoye,54.7914,65.9864,10.26,83,100,6.22,RU,overcast clouds,2022-02-06 04:47:40
204,Port-Cartier,50.0334,-66.8654,-5.58,80,1,10.6,CA,clear sky,2022-02-06 04:47:41
205,Husavik,66.0449,-17.3389,28.31,91,100,20.8,IS,snow,2022-02-06 04:47:41
206,Kandrian,-6.2167,149.55,88.72,61,100,7.65,PG,overcast clouds,2022-02-06 04:47:41
207,Kapaa,22.0752,-159.319,75.18,79,0,11.5,US,clear sky,2022-02-06 04:47:42
208,Sakakah,29.9697,40.2064,42.37,78,3,4.23,SA,clear sky,2022-02-06 04:47:42
209,Andenes,69.3143,16.1194,33.78,93,100,21.85,NO,light snow,2022-02-06 04:47:43
210,Kununurra,-15.7667,128.7333,89.58,62,46,4.61,AU,scattered clouds,2022-02-06 04:47:43
211,Tual,-5.6667,132.75,83.66,73,88,8.1,ID,overcast clouds,2022-02-06 04:47:43
212,West Chester,39.9607,-75.6055,21.56,75,0,0.0,US,clear sky,2022-02-06 04:43:35
